"gwcode","fid","start","end","heg_main_match","rowmin","rowmax","colmin","colmax","filename"
300,28,1855,1908,"german [l5]",312,416,409,613,"300_1855_1908_german_[l5].tif"
300,28,1855,1908,"hungarian [org]",312,416,409,613,"300_1855_1908_hungarian_[org].tif"
300,28,1855,1908,"romanian [org]",312,416,409,613,"300_1855_1908_romanian_[org].tif"
300,28,1855,1908,"ukrainian [org]",312,416,409,613,"300_1855_1908_ukrainian_[org].tif"
300,28,1855,1908,"armenian [l2]",312,416,409,613,"300_1855_1908_armenian_[l2].tif"
300,28,1855,1908,"bulgarian [org]",312,416,409,613,"300_1855_1908_bulgarian_[org].tif"
300,28,1855,1908,"rusyn [org]",312,416,409,613,"300_1855_1908_rusyn_[org].tif"
300,28,1855,1908,"russian [org]",312,416,409,613,"300_1855_1908_russian_[org].tif"
300,28,1855,1908,"slovak [org]",312,416,409,613,"300_1855_1908_slovak_[org].tif"
300,28,1855,1908,"czech [org]",312,416,409,613,"300_1855_1908_czech_[org].tif"
300,28,1855,1908,"jewish",312,416,409,613,"300_1855_1908_jewish.tif"
300,28,1855,1908,"polish [org]",312,416,409,613,"300_1855_1908_polish_[org].tif"
